item,id,query_type,question_property,lexicon,u,v,first,second,flipped,model,pred,parsed,relation,in_tok,out_tok
557,15777,nie,anticommonsense,KEEP,V2,Y,rainfall,weather,True,gpt-4.1-nano,b,1,agrees,94,3
557,15777,nie,anticommonsense,PERMUTE,V2,Y,weather,sprinkler,True,gpt-4.1-nano,c,1,neither,95,3
557,15777,nie,anticommonsense,KEEP,V3,Y,sprinkler,rainfall,False,gpt-4.1-nano,c,1,neither,96,3
557,15777,nie,anticommonsense,PERMUTE,V3,Y,season,weather,False,gpt-4.1-nano,a,1,agrees,93,3
557,15777,nie,anticommonsense,KEEP,X,V2,season,weather,False,gpt-4.1-nano,a,1,agrees,93,3
557,15777,nie,anticommonsense,PERMUTE,X,V2,rainfall,sprinkler,False,gpt-4.1-nano,c,1,neither,96,3
557,15777,nie,anticommonsense,KEEP,X,V3,season,sprinkler,False,gpt-4.1-nano,c,1,neither,95,3
557,15777,nie,anticommonsense,PERMUTE,X,V3,rainfall,season,False,gpt-4.1-nano,c,1,neither,94,3
558,16406,nie,anticommonsense,KEEP,V2,Y,getting smallpox,black hair,False,gpt-4.1-nano,c,1,neither,102,3
558,16406,nie,anticommonsense,PERMUTE,V2,Y,vaccination reaction,vaccination status,False,gpt-4.1-nano,c,1,neither,101,3
558,16406,nie,anticommonsense,KEEP,V3,Y,black hair,vaccination reaction,True,gpt-4.1-nano,c,1,neither,100,3
558,16406,nie,anticommonsense,PERMUTE,V3,Y,vaccination status,black hair,True,gpt-4.1-nano,c,1,neither,100,3
558,16406,nie,anticommonsense,KEEP,X,V2,getting smallpox,vaccination status,True,gpt-4.1-nano,b,1,agrees,103,3
558,16406,nie,anticommonsense,PERMUTE,X,V2,vaccination reaction,getting smallpox,True,gpt-4.1-nano,c,1,neither,103,3
558,16406,nie,anticommonsense,KEEP,X,V3,vaccination reaction,vaccination status,True,gpt-4.1-nano,c,1,neither,101,3
558,16406,nie,anticommonsense,PERMUTE,X,V3,black hair,getting smallpox,True,gpt-4.1-nano,c,1,neither,102,3
559,5288,ett,hard,KEEP,V2,Y,the corporal,prisoner,False,gpt-4.1-nano,c,1,neither,98,3
559,5288,ett,hard,PERMUTE,V2,Y,prisoner,the private,False,gpt-4.1-nano,c,1,neither,98,3
559,5288,ett,hard,KEEP,V3,Y,prisoner,the private,True,gpt-4.1-nano,c,1,neither,98,3
559,5288,ett,hard,PERMUTE,V3,Y,the private,the captain,True,gpt-4.1-nano,c,1,neither,99,3
559,5288,ett,hard,KEEP,X,V2,the corporal,the captain,True,gpt-4.1-nano,a,1,reversed,99,142
559,5288,ett,hard,PERMUTE,X,V2,prisoner,the corporal,True,gpt-4.1-nano,c,1,neither,98,3
559,5288,ett,hard,KEEP,X,V3,the captain,the private,False,gpt-4.1-nano,a,1,agrees,99,53
559,5288,ett,hard,PERMUTE,X,V3,the corporal,the captain,False,gpt-4.1-nano,a,1,agrees,99,142
560,19998,det-counterfactual,anticommonsense,KEEP,V2,Y,weather,ground,False,gpt-4.1-nano,c,1,neither,93,3
560,19998,det-counterfactual,anticommonsense,PERMUTE,V2,Y,ground,sprinkler,False,gpt-4.1-nano,c,1,neither,95,3
560,19998,det-counterfactual,anticommonsense,KEEP,V3,Y,sprinkler,ground,False,gpt-4.1-nano,a,1,agrees,95,3
560,19998,det-counterfactual,anticommonsense,PERMUTE,V3,Y,full moon,sprinkler,False,gpt-4.1-nano,c,1,neither,98,3
560,19998,det-counterfactual,anticommonsense,KEEP,X,V2,full moon,weather,False,gpt-4.1-nano,c,1,neither,96,3
560,19998,det-counterfactual,anticommonsense,PERMUTE,X,V2,weather,ground,False,gpt-4.1-nano,c,1,neither,93,3
560,19998,det-counterfactual,anticommonsense,KEEP,X,V3,full moon,sprinkler,False,gpt-4.1-nano,c,1,neither,98,3
560,19998,det-counterfactual,anticommonsense,PERMUTE,X,V3,weather,full moon,False,gpt-4.1-nano,c,1,neither,96,3
561,19981,det-counterfactual,anticommonsense,KEEP,V2,Y,prisoner,the corporal,True,gpt-4.1-nano,c,1,neither,98,3
561,19981,det-counterfactual,anticommonsense,PERMUTE,V2,Y,the private,having a sister,True,gpt-4.1-nano,c,1,neither,102,3
561,19981,det-counterfactual,anticommonsense,KEEP,V3,Y,the private,prisoner,False,gpt-4.1-nano,c,1,neither,98,3
561,19981,det-counterfactual,anticommonsense,PERMUTE,V3,Y,prisoner,the private,False,gpt-4.1-nano,c,1,neither,98,3
561,19981,det-counterfactual,anticommonsense,KEEP,X,V2,the corporal,having a sister,True,gpt-4.1-nano,c,1,neither,102,3
561,19981,det-counterfactual,anticommonsense,PERMUTE,X,V2,having a sister,the corporal,True,gpt-4.1-nano,c,1,neither,102,3
561,19981,det-counterfactual,anticommonsense,KEEP,X,V3,the private,having a sister,True,gpt-4.1-nano,c,1,neither,102,3
561,19981,det-counterfactual,anticommonsense,PERMUTE,X,V3,prisoner,the corporal,True,gpt-4.1-nano,c,1,neither,98,3
562,462,ett,easy,KEEP,V2,Y,the corporal,prisoner,False,gpt-4.1-nano,c,1,neither,98,3
562,462,ett,easy,PERMUTE,V2,Y,the private,the captain,False,gpt-4.1-nano,c,1,neither,99,3
562,462,ett,easy,KEEP,V3,Y,the private,prisoner,False,gpt-4.1-nano,c,1,neither,98,3
562,462,ett,easy,PERMUTE,V3,Y,the corporal,the captain,False,gpt-4.1-nano,a,1,agrees,99,142
562,462,ett,easy,KEEP,X,V2,the captain,the corporal,False,gpt-4.1-nano,c,1,neither,99,3
562,462,ett,easy,PERMUTE,X,V2,prisoner,the private,False,gpt-4.1-nano,c,1,neither,98,3
562,462,ett,easy,KEEP,X,V3,the captain,the private,False,gpt-4.1-nano,a,1,agrees,99,53
562,462,ett,easy,PERMUTE,X,V3,prisoner,the corporal,False,gpt-4.1-nano,c,1,neither,98,3
563,9607,det-counterfactual,commonsense,KEEP,V2,Y,ground,weather,True,gpt-4.1-nano,c,1,neither,93,3
563,9607,det-counterfactual,commonsense,PERMUTE,V2,Y,season,ground,True,gpt-4.1-nano,c,1,neither,93,3
563,9607,det-counterfactual,commonsense,KEEP,V3,Y,ground,sprinkler,True,gpt-4.1-nano,c,1,neither,95,3
563,9607,det-counterfactual,commonsense,PERMUTE,V3,Y,season,weather,True,gpt-4.1-nano,a,1,reversed,93,3
563,9607,det-counterfactual,commonsense,KEEP,X,V2,season,weather,False,gpt-4.1-nano,a,1,agrees,93,3
563,9607,det-counterfactual,commonsense,PERMUTE,X,V2,sprinkler,ground,False,gpt-4.1-nano,a,1,agrees,95,3
563,9607,det-counterfactual,commonsense,KEEP,X,V3,season,sprinkler,False,gpt-4.1-nano,c,1,neither,95,3
563,9607,det-counterfactual,commonsense,PERMUTE,X,V3,sprinkler,weather,False,gpt-4.1-nano,c,1,neither,95,3
564,1221,ett,easy,KEEP,V2,Y,smallpox survival,getting smallpox,True,gpt-4.1-nano,a,1,reversed,105,3
564,1221,ett,easy,PERMUTE,V2,Y,vaccination status,vaccination reaction,True,gpt-4.1-nano,c,1,neither,101,3
564,1221,ett,easy,KEEP,V3,Y,smallpox survival,vaccination reaction,True,gpt-4.1-nano,c,1,neither,103,3
564,1221,ett,easy,PERMUTE,V3,Y,vaccination status,smallpox survival,True,gpt-4.1-nano,a,1,reversed,103,3
564,1221,ett,easy,KEEP,X,V2,getting smallpox,vaccination status,True,gpt-4.1-nano,b,1,agrees,103,3
564,1221,ett,easy,PERMUTE,X,V2,vaccination reaction,getting smallpox,True,gpt-4.1-nano,c,1,neither,103,3
564,1221,ett,easy,KEEP,X,V3,vaccination reaction,vaccination status,True,gpt-4.1-nano,c,1,neither,101,3
564,1221,ett,easy,PERMUTE,X,V3,smallpox survival,getting smallpox,True,gpt-4.1-nano,a,1,reversed,105,3
565,19984,det-counterfactual,anticommonsense,KEEP,V2,Y,the corporal,prisoner,False,gpt-4.1-nano,c,1,neither,98,3
565,19984,det-counterfactual,anticommonsense,PERMUTE,V2,Y,having a sister,the corporal,False,gpt-4.1-nano,c,1,neither,102,3
565,19984,det-counterfactual,anticommonsense,KEEP,V3,Y,the private,prisoner,False,gpt-4.1-nano,c,1,neither,98,3
565,19984,det-counterfactual,anticommonsense,PERMUTE,V3,Y,prisoner,the corporal,False,gpt-4.1-nano,c,1,neither,98,3
565,19984,det-counterfactual,anticommonsense,KEEP,X,V2,having a sister,the corporal,False,gpt-4.1-nano,c,1,neither,102,3
565,19984,det-counterfactual,anticommonsense,PERMUTE,X,V2,the private,having a sister,False,gpt-4.1-nano,c,1,neither,102,3
565,19984,det-counterfactual,anticommonsense,KEEP,X,V3,having a sister,the private,False,gpt-4.1-nano,c,1,neither,102,158
565,19984,det-counterfactual,anticommonsense,PERMUTE,X,V3,the private,prisoner,False,gpt-4.1-nano,c,1,neither,98,3
566,15632,ett,anticommonsense,KEEP,V2,Y,prisoner,the corporal,True,gpt-4.1-nano,c,1,neither,98,3
566,15632,ett,anticommonsense,PERMUTE,V2,Y,the private,having visited England,True,gpt-4.1-nano,c,1,neither,102,3
566,15632,ett,anticommonsense,KEEP,V3,Y,the private,prisoner,False,gpt-4.1-nano,c,1,neither,98,3
566,15632,ett,anticommonsense,PERMUTE,V3,Y,the corporal,the private,False,gpt-4.1-nano,c,1,neither,99,3
566,15632,ett,anticommonsense,KEEP,X,V2,having visited England,the corporal,False,gpt-4.1-nano,c,1,neither,102,100
566,15632,ett,anticommonsense,PERMUTE,X,V2,prisoner,having visited England,False,gpt-4.1-nano,c,1,neither,101,44
566,15632,ett,anticommonsense,KEEP,X,V3,having visited England,the private,False,gpt-4.1-nano,c,1,neither,102,3
566,15632,ett,anticommonsense,PERMUTE,X,V3,prisoner,the corporal,False,gpt-4.1-nano,c,1,neither,98,3
567,9594,det-counterfactual,commonsense,KEEP,V2,Y,the corporal,prisoner,False,gpt-4.1-nano,c,1,neither,98,3
567,9594,det-counterfactual,commonsense,PERMUTE,V2,Y,the captain,the private,False,gpt-4.1-nano,a,1,agrees,99,53
567,9594,det-counterfactual,commonsense,KEEP,V3,Y,the private,prisoner,False,gpt-4.1-nano,c,1,neither,98,3
567,9594,det-counterfactual,commonsense,PERMUTE,V3,Y,prisoner,the private,False,gpt-4.1-nano,c,1,neither,98,3
567,9594,det-counterfactual,commonsense,KEEP,X,V2,the captain,the corporal,False,gpt-4.1-nano,c,1,neither,99,3
567,9594,det-counterfactual,commonsense,PERMUTE,X,V2,the corporal,the captain,False,gpt-4.1-nano,a,1,agrees,99,142
567,9594,det-counterfactual,commonsense,KEEP,X,V3,the captain,the private,False,gpt-4.1-nano,a,1,agrees,99,53
567,9594,det-counterfactual,commonsense,PERMUTE,X,V3,the corporal,prisoner,False,gpt-4.1-nano,c,1,neither,98,3
568,10798,ett,anticommonsense,KEEP,V2,Y,the corporal,prisoner,False,gpt-4.1-nano,c,1,neither,98,3
568,10798,ett,anticommonsense,PERMUTE,V2,Y,the private,having a sister,False,gpt-4.1-nano,c,1,neither,102,3
568,10798,ett,anticommonsense,KEEP,V3,Y,prisoner,the private,True,gpt-4.1-nano,c,1,neither,98,3
568,10798,ett,anticommonsense,PERMUTE,V3,Y,having a sister,prisoner,True,gpt-4.1-nano,c,1,neither,101,3
568,10798,ett,anticommonsense,KEEP,X,V2,having a sister,the corporal,False,gpt-4.1-nano,c,1,neither,102,3
568,10798,ett,anticommonsense,PERMUTE,X,V2,the corporal,the private,False,gpt-4.1-nano,c,1,neither,99,3
568,10798,ett,anticommonsense,KEEP,X,V3,having a sister,the private,False,gpt-4.1-nano,c,1,neither,102,158
568,10798,ett,anticommonsense,PERMUTE,X,V3,the corporal,prisoner,False,gpt-4.1-nano,c,1,neither,98,3
569,5450,ett,hard,KEEP,V2,Y,ground,weather,True,gpt-4.1-nano,c,1,neither,93,3
569,5450,ett,hard,PERMUTE,V2,Y,sprinkler,season,True,gpt-4.1-nano,c,1,neither,95,3
569,5450,ett,hard,KEEP,V3,Y,ground,sprinkler,True,gpt-4.1-nano,c,1,neither,95,3
569,5450,ett,hard,PERMUTE,V3,Y,sprinkler,ground,True,gpt-4.1-nano,a,1,reversed,95,3
569,5450,ett,hard,KEEP,X,V2,weather,season,True,gpt-4.1-nano,c,1,neither,93,3
569,5450,ett,hard,PERMUTE,X,V2,season,weather,True,gpt-4.1-nano,a,1,reversed,93,3
569,5450,ett,hard,KEEP,X,V3,sprinkler,season,True,gpt-4.1-nano,c,1,neither,95,3
569,5450,ett,hard,PERMUTE,X,V3,ground,weather,True,gpt-4.1-nano,c,1,neither,93,3
570,503,ett,easy,KEEP,V2,Y,prisoner,the corporal,True,gpt-4.1-nano,c,1,neither,98,3
570,503,ett,easy,PERMUTE,V2,Y,the private,the captain,True,gpt-4.1-nano,c,1,neither,99,3
570,503,ett,easy,KEEP,V3,Y,the private,prisoner,False,gpt-4.1-nano,c,1,neither,98,3
570,503,ett,easy,PERMUTE,V3,Y,prisoner,the private,False,gpt-4.1-nano,c,1,neither,98,3
570,503,ett,easy,KEEP,X,V2,the corporal,the captain,True,gpt-4.1-nano,a,1,reversed,99,142
570,503,ett,easy,PERMUTE,X,V2,the captain,the corporal,True,gpt-4.1-nano,c,1,neither,99,3
570,503,ett,easy,KEEP,X,V3,the private,the captain,True,gpt-4.1-nano,c,1,neither,99,3
570,503,ett,easy,PERMUTE,X,V3,prisoner,the corporal,True,gpt-4.1-nano,c,1,neither,98,3
571,19995,det-counterfactual,anticommonsense,KEEP,V2,Y,ground,weather,True,gpt-4.1-nano,c,1,neither,93,3
571,19995,det-counterfactual,anticommonsense,PERMUTE,V2,Y,weather,ground,True,gpt-4.1-nano,c,1,neither,93,3
571,19995,det-counterfactual,anticommonsense,KEEP,V3,Y,ground,sprinkler,True,gpt-4.1-nano,c,1,neither,95,3
571,19995,det-counterfactual,anticommonsense,PERMUTE,V3,Y,weather,full moon,True,gpt-4.1-nano,c,1,neither,96,3
571,19995,det-counterfactual,anticommonsense,KEEP,X,V2,full moon,weather,False,gpt-4.1-nano,c,1,neither,96,3
571,19995,det-counterfactual,anticommonsense,PERMUTE,X,V2,sprinkler,ground,False,gpt-4.1-nano,a,1,agrees,95,3
571,19995,det-counterfactual,anticommonsense,KEEP,X,V3,full moon,sprinkler,False,gpt-4.1-nano,c,1,neither,98,3
571,19995,det-counterfactual,anticommonsense,PERMUTE,X,V3,sprinkler,full moon,False,gpt-4.1-nano,c,1,neither,98,3
572,418,nie,easy,KEEP,V2,Y,prisoner,the corporal,True,gpt-4.1-nano,c,1,neither,98,3
572,418,nie,easy,PERMUTE,V2,Y,the private,the captain,True,gpt-4.1-nano,c,1,neither,99,3
572,418,nie,easy,KEEP,V3,Y,the private,prisoner,False,gpt-4.1-nano,c,1,neither,98,3
572,418,nie,easy,PERMUTE,V3,Y,prisoner,the private,False,gpt-4.1-nano,c,1,neither,98,3
572,418,nie,easy,KEEP,X,V2,the captain,the corporal,False,gpt-4.1-nano,c,1,neither,99,3
572,418,nie,easy,PERMUTE,X,V2,the corporal,the captain,False,gpt-4.1-nano,a,1,agrees,99,142
572,418,nie,easy,KEEP,X,V3,the private,the captain,True,gpt-4.1-nano,c,1,neither,99,3
572,418,nie,easy,PERMUTE,X,V3,prisoner,the corporal,True,gpt-4.1-nano,c,1,neither,98,3
573,15842,ett,anticommonsense,KEEP,V2,Y,rainfall,weather,True,gpt-4.1-nano,b,1,agrees,94,3
573,15842,ett,anticommonsense,PERMUTE,V2,Y,sprinkler,rainfall,True,gpt-4.1-nano,c,1,neither,96,3
573,15842,ett,anticommonsense,KEEP,V3,Y,rainfall,sprinkler,True,gpt-4.1-nano,c,1,neither,96,3
573,15842,ett,anticommonsense,PERMUTE,V3,Y,sprinkler,season,True,gpt-4.1-nano,c,1,neither,95,3
573,15842,ett,anticommonsense,KEEP,X,V2,season,weather,False,gpt-4.1-nano,a,1,agrees,93,3
573,15842,ett,anticommonsense,PERMUTE,X,V2,weather,rainfall,False,gpt-4.1-nano,a,1,agrees,94,3
573,15842,ett,anticommonsense,KEEP,X,V3,season,sprinkler,False,gpt-4.1-nano,c,1,neither,95,3
573,15842,ett,anticommonsense,PERMUTE,X,V3,weather,season,False,gpt-4.1-nano,c,1,neither,93,3
574,9600,det-counterfactual,commonsense,KEEP,V2,Y,prisoner,the corporal,True,gpt-4.1-nano,c,1,neither,98,3
574,9600,det-counterfactual,commonsense,PERMUTE,V2,Y,the corporal,the captain,True,gpt-4.1-nano,a,1,reversed,99,142
574,9600,det-counterfactual,commonsense,KEEP,V3,Y,prisoner,the private,True,gpt-4.1-nano,c,1,neither,98,3
574,9600,det-counterfactual,commonsense,PERMUTE,V3,Y,the corporal,prisoner,True,gpt-4.1-nano,c,1,neither,98,3
574,9600,det-counterfactual,commonsense,KEEP,X,V2,the captain,the corporal,False,gpt-4.1-nano,c,1,neither,99,3
574,9600,det-counterfactual,commonsense,PERMUTE,X,V2,the private,the captain,False,gpt-4.1-nano,c,1,neither,99,3
574,9600,det-counterfactual,commonsense,KEEP,X,V3,the captain,the private,False,gpt-4.1-nano,a,1,agrees,99,53
574,9600,det-counterfactual,commonsense,PERMUTE,X,V3,the private,prisoner,False,gpt-4.1-nano,c,1,neither,98,3
575,10833,nie,anticommonsense,KEEP,V2,Y,prisoner,the corporal,True,gpt-4.1-nano,c,1,neither,98,3
575,10833,nie,anticommonsense,PERMUTE,V2,Y,the private,prisoner,True,gpt-4.1-nano,c,1,neither,98,3
575,10833,nie,anticommonsense,KEEP,V3,Y,prisoner,the private,True,gpt-4.1-nano,c,1,neither,98,3
575,10833,nie,anticommonsense,PERMUTE,V3,Y,the private,having a sister,True,gpt-4.1-nano,c,1,neither,102,3
575,10833,nie,anticommonsense,KEEP,X,V2,the corporal,having a sister,True,gpt-4.1-nano,c,1,neither,102,3
575,10833,nie,anticommonsense,PERMUTE,X,V2,prisoner,the corporal,True,gpt-4.1-nano,c,1,neither,98,3
575,10833,nie,anticommonsense,KEEP,X,V3,the private,having a sister,True,gpt-4.1-nano,c,1,neither,102,3
575,10833,nie,anticommonsense,PERMUTE,X,V3,having a sister,the corporal,True,gpt-4.1-nano,c,1,neither,102,3
576,11652,nie,anticommonsense,KEEP,V2,Y,getting smallpox,smallpox survival,False,gpt-4.1-nano,a,1,agrees,105,3
576,11652,nie,anticommonsense,PERMUTE,V2,Y,smallpox survival,having a brother,False,gpt-4.1-nano,c,1,neither,105,3
576,11652,nie,anticommonsense,KEEP,V3,Y,vaccination reaction,smallpox survival,False,gpt-4.1-nano,c,1,neither,103,3
576,11652,nie,anticommonsense,PERMUTE,V3,Y,getting smallpox,having a brother,False,gpt-4.1-nano,c,1,neither,105,3
576,11652,nie,anticommonsense,KEEP,X,V2,having a brother,getting smallpox,False,gpt-4.1-nano,c,1,neither,105,3
576,11652,nie,anticommonsense,PERMUTE,X,V2,vaccination reaction,smallpox survival,False,gpt-4.1-nano,c,1,neither,103,3
576,11652,nie,anticommonsense,KEEP,X,V3,vaccination reaction,having a brother,True,gpt-4.1-nano,c,1,neither,103,3
576,11652,nie,anticommonsense,PERMUTE,X,V3,getting smallpox,vaccination reaction,True,gpt-4.1-nano,c,1,neither,103,3
577,10980,nie,anticommonsense,KEEP,V2,Y,ground,weather,True,gpt-4.1-nano,c,1,neither,93,3
577,10980,nie,anticommonsense,PERMUTE,V2,Y,full moon,sprinkler,True,gpt-4.1-nano,c,1,neither,98,3
577,10980,nie,anticommonsense,KEEP,V3,Y,ground,sprinkler,True,gpt-4.1-nano,c,1,neither,95,3
577,10980,nie,anticommonsense,PERMUTE,V3,Y,full moon,weather,True,gpt-4.1-nano,c,1,neither,96,3
577,10980,nie,anticommonsense,KEEP,X,V2,weather,full moon,True,gpt-4.1-nano,c,1,neither,96,3
577,10980,nie,anticommonsense,PERMUTE,X,V2,sprinkler,ground,True,gpt-4.1-nano,a,1,reversed,95,3
577,10980,nie,anticommonsense,KEEP,X,V3,sprinkler,full moon,True,gpt-4.1-nano,c,1,neither,98,3
577,10980,nie,anticommonsense,PERMUTE,X,V3,weather,ground,True,gpt-4.1-nano,c,1,neither,93,3
612,10777,ate,anticommonsense,KEEP,V1,V3,CEO,director,False,gpt-4.1-nano,a,1,agrees,93,76
612,10777,ate,anticommonsense,PERMUTE,V1,V3,having visited England,employee,False,gpt-4.1-nano,c,1,neither,99,49
612,10777,ate,anticommonsense,KEEP,V1,X,CEO,having visited England,False,gpt-4.1-nano,c,1,neither,99,3
612,10777,ate,anticommonsense,PERMUTE,V1,X,having visited England,CEO,False,gpt-4.1-nano,c,1,neither,99,3
612,10777,ate,anticommonsense,KEEP,V3,Y,employee,director,True,gpt-4.1-nano,b,1,agrees,93,109
612,10777,ate,anticommonsense,PERMUTE,V3,Y,director,employee,True,gpt-4.1-nano,a,1,reversed,93,62
612,10777,ate,anticommonsense,KEEP,X,Y,employee,having visited England,True,gpt-4.1-nano,c,1,neither,99,3
612,10777,ate,anticommonsense,PERMUTE,X,Y,director,CEO,True,gpt-4.1-nano,c,1,neither,93,3
613,10731,ate,anticommonsense,KEEP,V1,V3,director,CEO,True,gpt-4.1-nano,c,1,neither,93,3
613,10731,ate,anticommonsense,PERMUTE,V1,V3,CEO,having visited England,True,gpt-4.1-nano,c,1,neither,99,3
613,10731,ate,anticommonsense,KEEP,V1,X,CEO,having visited England,False,gpt-4.1-nano,c,1,neither,99,3
613,10731,ate,anticommonsense,PERMUTE,V1,X,having visited England,employee,False,gpt-4.1-nano,c,1,neither,99,49
613,10731,ate,anticommonsense,KEEP,V3,Y,director,employee,False,gpt-4.1-nano,a,1,agrees,93,62
613,10731,ate,anticommonsense,PERMUTE,V3,Y,CEO,director,False,gpt-4.1-nano,a,1,agrees,93,76
613,10731,ate,anticommonsense,KEEP,X,Y,employee,having visited England,True,gpt-4.1-nano,c,1,neither,99,3
613,10731,ate,anticommonsense,PERMUTE,X,Y,director,employee,True,gpt-4.1-nano,a,1,reversed,93,62
614,10741,ate,anticommonsense,KEEP,V1,V3,CEO,director,False,gpt-4.1-nano,a,1,agrees,93,76
614,10741,ate,anticommonsense,PERMUTE,V1,V3,employee,CEO,False,gpt-4.1-nano,c,1,neither,93,3
614,10741,ate,anticommonsense,KEEP,V1,X,having visited England,CEO,True,gpt-4.1-nano,c,1,neither,99,3
614,10741,ate,anticommonsense,PERMUTE,V1,X,director,employee,True,gpt-4.1-nano,a,1,reversed,93,62
614,10741,ate,anticommonsense,KEEP,V3,Y,employee,director,True,gpt-4.1-nano,b,1,agrees,93,109
614,10741,ate,anticommonsense,PERMUTE,V3,Y,having visited England,CEO,True,gpt-4.1-nano,c,1,neither,99,3
614,10741,ate,anticommonsense,KEEP,X,Y,having visited England,employee,False,gpt-4.1-nano,c,1,neither,99,49
614,10741,ate,anticommonsense,PERMUTE,X,Y,director,having visited England,False,gpt-4.1-nano,c,1,neither,99,42
616,5117,ate,hard,KEEP,V1,V3,CEO,director,False,gpt-4.1-nano,a,1,agrees,93,76
616,5117,ate,hard,PERMUTE,V1,V3,employee,CEO,False,gpt-4.1-nano,c,1,neither,93,3
616,5117,ate,hard,KEEP,V1,X,manager,CEO,True,gpt-4.1-nano,c,1,neither,93,3
616,5117,ate,hard,PERMUTE,V1,X,director,employee,True,gpt-4.1-nano,a,1,reversed,93,62
616,5117,ate,hard,KEEP,V3,Y,director,employee,False,gpt-4.1-nano,a,1,agrees,93,62
616,5117,ate,hard,PERMUTE,V3,Y,CEO,manager,False,gpt-4.1-nano,a,1,agrees,93,3
616,5117,ate,hard,KEEP,X,Y,manager,employee,False,gpt-4.1-nano,a,1,agrees,93,3
616,5117,ate,hard,PERMUTE,X,Y,director,manager,False,gpt-4.1-nano,a,1,agrees,93,102
618,334,ate,easy,KEEP,V1,V3,CEO,director,False,gpt-4.1-nano,a,1,agrees,93,76
618,334,ate,easy,PERMUTE,V1,V3,manager,CEO,False,gpt-4.1-nano,c,1,neither,93,3
618,334,ate,easy,KEEP,V1,X,CEO,manager,False,gpt-4.1-nano,a,1,agrees,93,3
618,334,ate,easy,PERMUTE,V1,X,manager,employee,False,gpt-4.1-nano,a,1,agrees,93,3
618,334,ate,easy,KEEP,V3,Y,director,employee,False,gpt-4.1-nano,a,1,agrees,93,62
618,334,ate,easy,PERMUTE,V3,Y,CEO,director,False,gpt-4.1-nano,a,1,agrees,93,76
618,334,ate,easy,KEEP,X,Y,manager,employee,False,gpt-4.1-nano,a,1,agrees,93,3
618,334,ate,easy,PERMUTE,X,Y,employee,director,False,gpt-4.1-nano,b,1,reversed,93,109
622,10746,ate,anticommonsense,KEEP,V1,V3,CEO,director,False,gpt-4.1-nano,a,1,agrees,93,76
622,10746,ate,anticommonsense,PERMUTE,V1,V3,employee,CEO,False,gpt-4.1-nano,c,1,neither,93,3
622,10746,ate,anticommonsense,KEEP,V1,X,having visited England,CEO,True,gpt-4.1-nano,c,1,neither,99,3
622,10746,ate,anticommonsense,PERMUTE,V1,X,director,employee,True,gpt-4.1-nano,a,1,reversed,93,62
622,10746,ate,anticommonsense,KEEP,V3,Y,employee,director,True,gpt-4.1-nano,b,1,agrees,93,109
622,10746,ate,anticommonsense,PERMUTE,V3,Y,having visited England,CEO,True,gpt-4.1-nano,c,1,neither,99,3
622,10746,ate,anticommonsense,KEEP,X,Y,having visited England,employee,False,gpt-4.1-nano,c,1,neither,99,49
622,10746,ate,anticommonsense,PERMUTE,X,Y,director,having visited England,False,gpt-4.1-nano,c,1,neither,99,42
624,15578,ate,anticommonsense,KEEP,V1,V3,CEO,director,False,gpt-4.1-nano,a,1,agrees,93,76
624,15578,ate,anticommonsense,PERMUTE,V1,V3,director,foot size,False,gpt-4.1-nano,c,1,neither,96,3
624,15578,ate,anticommonsense,KEEP,V1,X,manager,CEO,True,gpt-4.1-nano,c,1,neither,93,3
624,15578,ate,anticommonsense,PERMUTE,V1,X,CEO,director,True,gpt-4.1-nano,a,1,reversed,93,76
624,15578,ate,anticommonsense,KEEP,V3,Y,director,foot size,False,gpt-4.1-nano,c,1,neither,96,3
624,15578,ate,anticommonsense,PERMUTE,V3,Y,foot size,manager,False,gpt-4.1-nano,c,1,neither,96,3
624,15578,ate,anticommonsense,KEEP,X,Y,foot size,manager,True,gpt-4.1-nano,c,1,neither,96,3
624,15578,ate,anticommonsense,PERMUTE,X,Y,manager,CEO,True,gpt-4.1-nano,c,1,neither,93,3
625,10704,ate,anticommonsense,KEEP,V1,V3,CEO,director,False,gpt-4.1-nano,a,1,agrees,93,76
625,10704,ate,anticommonsense,PERMUTE,V1,V3,having visited England,employee,False,gpt-4.1-nano,c,1,neither,99,49
625,10704,ate,anticommonsense,KEEP,V1,X,having visited England,CEO,True,gpt-4.1-nano,c,1,neither,99,3
625,10704,ate,anticommonsense,PERMUTE,V1,X,director,having visited England,True,gpt-4.1-nano,c,1,neither,99,42
625,10704,ate,anticommonsense,KEEP,V3,Y,employee,director,True,gpt-4.1-nano,b,1,agrees,93,109
625,10704,ate,anticommonsense,PERMUTE,V3,Y,CEO,employee,True,gpt-4.1-nano,a,1,reversed,93,3
625,10704,ate,anticommonsense,KEEP,X,Y,having visited England,employee,False,gpt-4.1-nano,c,1,neither,99,49
625,10704,ate,anticommonsense,PERMUTE,X,Y,director,CEO,False,gpt-4.1-nano,c,1,neither,93,3
626,15498,ate,anticommonsense,KEEP,V1,V3,director,CEO,True,gpt-4.1-nano,c,1,neither,93,3
626,15498,ate,anticommonsense,PERMUTE,V1,V3,foot size,director,True,gpt-4.1-nano,c,1,neither,96,3
626,15498,ate,anticommonsense,KEEP,V1,X,CEO,manager,False,gpt-4.1-nano,a,1,agrees,93,3
626,15498,ate,anticommonsense,PERMUTE,V1,X,director,CEO,False,gpt-4.1-nano,c,1,neither,93,3
