item,story,mode,gold,n_nodes,has_data,used
279,"employee performance | job satisfaction | severity of respiratory illnesses || AB,AC,BC",RANDOM,no,3,False,0
280,"azgg | lscu | zens | zgcj || AB,AC,AD,BD,CD",FAKE,no,4,False,0
281,"government policies | income level | talent | work-life balance || AB,AC,AD,BC,CD",RANDOM,no,4,False,0
282,"humidity | rainfall | temperature || AC,BC",REAL,no,3,False,1
283,"azip | hfro | smik | zycs || AB,BC,BD,CD",FAKE,no,4,False,0
284,"aghu | izlq | jvyl | xewl | ydlu || AB,AD,AE,BC,BD,CD,CE",FAKE,no,5,False,0
285,"whether a person eats a healthy diet | whether a person exercises regularly | whether a person has good cardiovascular health | whether a person maintains a healthy weight || AB,AD,BC,CD",REAL,yes,4,True,1
286,"oerx | tlqy | xtse | zqrx || AB,AC,BC,BD,CD",FAKE,no,4,True,0
287,"exxp | hnzi | mlhx | ovlq | wtel || AC,BC,CD,ED",FAKE,no,5,True,0
288,"blood pressure | humidity level | severity of respiratory illnesses | wheather condition || AC,AD,BC",RANDOM,no,4,False,0
289,"crop yield | economic growth | humidity level | profit of farmers | weather conditions || AB,AC,BC,BD,CD,DE",REAL,no,5,False,1
290,"azip | hfro | smik | zycs || AB,BC,BD,CD",FAKE,no,4,True,0
291,"amount of exercise | humidity level | stress level || AB,AC",RANDOM,no,3,False,0
292,"education level | employee performance | severity of respiratory illnesses || AB,AC,BC",RANDOM,no,3,True,0
293,"government policies | temperature | wheather condition || AC,BC",RANDOM,no,3,False,0
294,"the amount of sleep the student gets | the grade the student receives on a test | the number of hours a student studies | the overall academic performance of the student || AB,AD,BD,CD",REAL,no,4,True,1
295,"ejwt | fguc | fywx | gecc | radw || AC,AE,BC,BE,CD,CE,DE",FAKE,no,5,True,0
296,"crop yield | economic growth | humidity level | profit of farmers | weather conditions || AB,AC,BC,BD,CD,DE",REAL,no,5,False,1
297,"ejwt | fguc | fywx | gecc | radw || AC,AE,BC,BE,CD,CE,DE",FAKE,no,5,False,0
298,"air pressure | apearance | blood pressure | income level | traffic congestion || AB,AC,BC,BD,CD,DE",RANDOM,no,5,True,0
299,"whether a person gets a good grade in the course | whether a person passes the exam | whether a person studies for an exam || AB,AC,BC",REAL,no,3,True,1
300,"education level | job satisfaction | rainfull | sales performance || AB,AC,AD,BC",RANDOM,yes,4,True,0
301,"cldj | gstf | kcou | pmfi || AB,AC,AD",FAKE,no,4,False,0
302,"air pressure | physical health | quality of teaching || AB,AC,BC",RANDOM,no,3,True,0
303,"azgg | lscu | zens | zgcj || AB,AC,AD,BD,CD",FAKE,yes,4,True,0
304,"air pressure | humidity level | sales performance | work-life balance || AC,AD,BC,CD",RANDOM,no,4,True,0
305,"bkzf | fcun | mwcs | xmtp || AB,BC,BD",FAKE,no,4,True,0
306,"adyg | bqct | kvwx | nbzs || AC,BC,CD",FAKE,no,4,False,0
307,"the amount of time spent studying | the final grade in the course | the level of understanding of the subject | the test score obtained || AB,AC,BC,BD,CD",REAL,yes,4,True,1
308,"education level | mental health | sales performance | talent || AB,AD,BC,CD",RANDOM,no,4,False,0
309,"clzo | itsc | kyzr | vvae || AB,BC,BD",FAKE,no,4,True,0
310,"huit | nlta | nxur | vhuj | xyrs || AB,AD,BC,BE,CD,CE,DE",FAKE,no,5,False,0
311,"whether a person eats a healthy diet | whether a person exercises regularly | whether a person has good cardiovascular health | whether a person maintains a healthy weight || AB,AD,BC,CD",REAL,no,4,False,1
312,"air pressure | income level | job satisfaction || AC,BC",RANDOM,no,3,False,0
313,"bftz | iemr | mcjs | ppux || AC,AD,BC,CD",FAKE,no,4,False,0
314,"enck | mktt | oroo | tlxp || AB,AC,AD,BC",FAKE,yes,4,True,0
315,"axai | ldok | mjlh | pntb || AC,AD,BC,BD",FAKE,no,4,False,0
316,"child's education level | child's health status | child's social skills | parents' income || AB,AC,AD",REAL,no,4,False,1
317,"kttf | mnjp | yens || AC,BC",FAKE,no,3,False,0
318,"government policies | income level | talent | work-life balance || AB,AC,AD,BC,CD",RANDOM,no,4,True,0
319,"cjna | molo | uqxi || AB,AC",FAKE,no,3,False,0
320,"dupa | fbzr | vfvq | xizv || AC,AD,BC",FAKE,no,4,False,0
321,"axai | ldok | mjlh | pntb || AC,AD,BC,BD",FAKE,no,4,False,0
322,"ajlk | bduo | mzbw | vlmn || AB,BC,BD,CD",FAKE,yes,4,True,0
323,"employee performance | mental health | sales performance | traffic congestion || AB,AC,BC,BD,CD",RANDOM,no,4,False,0
324,"bsaz | czvl | tava | vimz || AC,BC,CD",FAKE,no,4,False,0
325,"jepz | rybe | trzg || AB,BC",FAKE,no,3,True,0
326,"hdqy | ivje | qmiv | uoeb || AB,AD,BD,CD",FAKE,no,4,True,0
327,"the amount of exercise the person does | the amount of sleep a person gets | the overall health of the person | the productivity level of the person || AB,AD,BD,CD",REAL,no,4,False,1
328,"bftz | iemr | mcjs | ppux || AC,AD,BC,CD",FAKE,no,4,False,0
329,"the amount of water poured | the growth rate of plants | the weather condition || AC,BC",REAL,yes,3,True,1
330,"the amount of rainfall | the growth rate of plants | the yield of crops || AB,BC",REAL,no,3,False,1
331,"amount of exercise | humidity level | quality of teaching | temperature || AB,AC,BC,BD",RANDOM,no,4,False,0
332,"job experience | job performance | level of education | salary || AB,AD,BC,BD,CD",REAL,no,4,True,1
333,"gavm | gewg | rrch | vate || AB,AC,AD,BC,BD",FAKE,no,4,True,0
334,"customer satisfaction | product quality | revenue | sales || AC,BC,CD",REAL,no,4,True,1
335,"apearance | traffic congestion | wheather condition || AB,BC",RANDOM,yes,3,True,0
336,"air pressure | government policies | wheather condition || AC,BC",RANDOM,no,3,False,0
337,"bcij | musg | qbfp | qmsx | xrdt || AB,AC,BC,BD,CD,DE",FAKE,no,5,False,0
338,"amount of exercise | apearance | talent || AB,AC",RANDOM,no,3,False,0
339,"axag | eyse | hsvu | tqrr | vgnx || AD,BD,CD,DE",FAKE,no,5,False,0
340,"crop growth | harvest yield | temperature || AB,BC",REAL,no,3,False,1
341,"apearance | rainfull | temperature | traffic congestion || AB,AD,BC",RANDOM,no,4,False,0
342,"job satisfaction | sales performance | talent | wheather condition | work-life balance || AC,BC,CD,ED",RANDOM,no,5,True,0
343,"amount of exercise | market demand | sales performance | wheather condition || AB,AC,AD,BD,CD",RANDOM,no,4,False,0
344,"axag | eyse | hsvu | tqrr | vgnx || AD,BD,CD,DE",FAKE,no,5,False,0
345,"customer satisfaction with a product | number of positive reviews for the product | revenue generated from the product | sales performance of the product || AB,AD,BC,CD",REAL,yes,4,True,1
346,"the amount of rainfall | the amount of water in a reservoir | the availability of drinking water | the water level in a river || AB,AD,BC,BD,CD",REAL,no,4,False,1
347,"amount of exercise | apearance | work-life balance || AB,AC,BC",RANDOM,no,3,False,0
348,"azgg | lscu | zens | zgcj || AB,AC,AD,BD,CD",FAKE,no,4,True,0
349,"job satisfaction | sales performance | talent | wheather condition | work-life balance || AC,BC,CD,ED",RANDOM,no,5,True,0
350,"the amount of sleep the student gets | the grade the student receives on a test | the number of hours a student studies | the overall academic performance of the student || AB,AD,BD,CD",REAL,yes,4,True,1
351,"jkcn | ogvr | piki | zgsl || AB,AC,BC,BD",FAKE,no,4,False,0
352,"education level | mental health | wheather condition || AB,BC",RANDOM,no,3,False,0
353,"apearance | rainfull | temperature | traffic congestion || AB,AD,BC",RANDOM,no,4,False,0
354,"air pressure | job satisfaction | temperature | wheather condition || AB,AC,AD",RANDOM,no,4,True,0
355,"elmy | tnsn | xlbg || AC,BC",FAKE,no,3,True,0
356,"the exam score | the number of hours spent sleeping the night before the exam | the number of hours spent studying for an exam || AC,BC",REAL,no,3,False,1
357,"amount of exercise | overall health status | physical fitness level || AB,BC",REAL,no,3,False,1
358,"the grade obtained on the exam | whether a student studies for an exam or not | whether the student passes the course or not || AB,BC",REAL,no,3,True,1
359,"amount of trash left on the beach | number of people going to the beach | weather conditions || AB,AC,BC",REAL,yes,3,True,1
360,"fbge | twac | vdla | vijq || AB,AC,AD",FAKE,no,4,False,0
361,"customer satisfaction with a product | number of positive reviews for the product | revenue generated from the product | sales performance of the product || AB,AD,BC,CD",REAL,no,4,True,1
362,"apearance | quality of teaching | work-life balance || AB,AC",RANDOM,yes,3,True,0
363,"air pressure | apearance | blood pressure | income level | traffic congestion || AB,AC,BC,BD,CD,DE",RANDOM,no,5,False,0
364,"education level | government policies | rainfull || AC,BC",RANDOM,no,3,True,0
365,"the amount of rainfall | the growth of crops | the water level of a river || AB,AC",REAL,no,3,False,1
366,"bfgu | fskd | nbzx || AB,AC",FAKE,no,3,True,0
367,"the amount of exercise a person does | the person's cardiovascular health | the person's immune system | the person's overall health | the person's respiratory health || AB,AD,BC,BE,CD,CE,DE",REAL,no,5,True,1
368,"gavm | gewg | rrch | vate || AB,AC,AD,BC,BD",FAKE,yes,4,True,0
369,"the grade obtained on the exam | whether a student studies for an exam or not | whether the student passes the course or not || AB,BC",REAL,no,3,False,1
370,"market demand | severity of respiratory illnesses | talent | temperature || AB,AD,BC,BD,CD",RANDOM,no,4,False,0
371,"education level | mental health | physical health | wheather condition || AB,AD,BC,BD,CD",RANDOM,no,4,False,0
372,"bcij | musg | qbfp | qmsx | xrdt || AB,AC,BC,BD,CD,DE",FAKE,no,5,False,0
373,"etat | gjot | hlky | sslg || AC,AD,BC,BD,CD",FAKE,no,4,True,0
374,"the amount of exercise a person does | the person's cardiovascular health | the person's immune system | the person's overall health | the person's respiratory health || AB,AD,BC,BE,CD,CE,DE",REAL,no,5,False,1
375,"employment status | happiness level | income | level of education || AB,AC,AD",REAL,no,4,False,1
376,"apearance | stress level | traffic congestion | wheather condition || AB,AC,AD,BC",RANDOM,yes,4,True,0
377,"amount of exercise | education level | humidity level | market demand | sales performance || AB,AD,AE,BC,BD,CD,CE",RANDOM,yes,5,True,0
378,"air pressure | education level | employee performance || AB,AC",RANDOM,yes,3,True,0
379,"the amount of time spent studying | the final grade in the course | the level of understanding of the subject | the test score obtained || AB,AC,BC,BD,CD",REAL,no,4,False,1
380,"icux | mqrw | qeld | rztp || AC,AD,BC",FAKE,no,4,True,0
381,"whether a person gets a good grade in the course | whether a person passes the exam | whether a person studies for an exam || AB,AC,BC",REAL,no,3,True,1
382,"humidity | temperature | weather conditions || AB,AC",REAL,no,3,False,1
383,"lyht | lzwf | xlyn || AC,BC",FAKE,no,3,False,0
384,"amount of studying | grade in class | overall academic achievement | test performance || AB,BC,BD,CD",REAL,no,4,False,1
385,"the amount of sleep the night before the exam | the number of hours studied for an exam | the overall performance in the course | the score obtained on the exam || AB,AC,BD,CD",REAL,no,4,True,1
386,"gavm | gewg | rrch | vate || AB,AC,AD,BC,BD",FAKE,yes,4,True,0
387,"amount of exercise | blood pressure | job satisfaction | rainfull || AB,AC,BC,CD",RANDOM,no,4,True,0
388,"grade in the course | number of hours studied | overall gpa | test performance || AB,BC,CD",REAL,yes,4,True,1
389,"mrdz | mtwz | rewt || AB,AC,BC",FAKE,no,3,False,0
390,"a person waking up in the morning | being more productive throughout the day | drinking a cup of coffee | feeling more alert and energized || AB,BC,CD",REAL,no,4,False,0
391,"gqkb | rrej | uniw | vxat | zwyp || AB,AC,AD,BC,BD,BE,CD,DE",FAKE,no,5,True,0
392,"elmy | tnsn | xlbg || AC,BC",FAKE,no,3,False,0
393,"employee performance | job satisfaction | severity of respiratory illnesses || AB,AC,BC",RANDOM,no,3,False,0
394,"apearance | blood pressure | job satisfaction | severity of respiratory illnesses | stress level || AB,AC,AD,BC,BD,BE,CD,DE",RANDOM,no,5,False,0
395,"eurf | yikq | zccw || AC,BC",FAKE,no,3,False,0
396,"crop yield | economic growth | humidity level | profit of farmers | weather conditions || AB,AC,BC,BD,CD,DE",REAL,no,5,False,1
397,"amount of exercise | body weight | dietary habits | risk of developing chronic diseases || AC,BC,CD",REAL,no,4,True,1
398,"the amount of water poured | the growth rate of plants | the weather condition || AC,BC",REAL,no,3,False,1
399,"ferk | rekt | tfmi || AC,BC",FAKE,no,3,False,0
400,"child's education level | child's health status | child's social skills | parents' income || AB,AC,AD",REAL,no,4,False,1
401,"employee performance | job satisfaction | rainfull | talent | wheather condition || AB,AE,BC,BD,CD,CE,DE",RANDOM,yes,5,True,0
402,"abcp | bdan | xuoo || AB,BC",FAKE,no,3,True,0
403,"grade in the course | number of hours studied | overall gpa | test performance || AB,BC,CD",REAL,yes,4,True,1
404,"axai | ldok | mjlh | pntb || AC,AD,BC,BD",FAKE,no,4,True,0
405,"dliz | iipq | kyfi | uoni || AD,BC,CD",FAKE,no,4,True,0
406,"avtx | etyb | gmjc | wmpz || AD,BD,CD",FAKE,no,4,False,0
407,"crop yield | humidity | rainfall | temperature || AB,AC,AD,BC,CD",REAL,no,4,True,1
408,"axag | eyse | hsvu | tqrr | vgnx || AD,BD,CD,DE",FAKE,no,5,False,0
409,"the grade achieved in an exam | the likelihood of getting a scholarship | the likelihood of getting admitted to a university | the number of hours spent studying || AB,BC,BD",REAL,no,4,False,1
410,"bfgu | fskd | nbzx || AB,AC",FAKE,no,3,False,0
411,"cldj | gstf | kcou | pmfi || AB,AC,AD",FAKE,yes,4,True,0
412,"the amount of sleep the student gets | the grade the student receives on a test | the number of hours a student studies | the overall academic performance of the student || AB,AD,BD,CD",REAL,no,4,True,1
413,"htlq | vldf | zzdz || AC,BC",FAKE,no,3,False,0
414,"education level | market demand | mental health | temperature || AB,AC,BC,BD",RANDOM,no,4,False,0
415,"nvcm | sxxy | zavj || AB,BC",FAKE,yes,3,True,0
416,"bsaz | czvl | tava | vimz || AC,BC,CD",FAKE,no,4,False,0
417,"apearance | employee performance | mental health || AC,BC",RANDOM,yes,3,True,0
418,"muin | tdsh | vgim || AB,AC",FAKE,no,3,False,0
419,"amount of exercise | apearance | employee performance | market demand || AB,AD,BC,CD",RANDOM,yes,4,True,0
420,"dtdq | lkll | owxw | wmll || AB,AD,BC,CD",FAKE,no,4,True,0
421,"air pressure | rainfull | severity of respiratory illnesses | stress level || AC,BC,CD",RANDOM,no,4,False,0
422,"availability of alternative routes | road construction | traffic congestion | travel time to destination || AB,AC,AD,BD,CD",REAL,no,4,True,1
423,"utwx | ynsj | yuif || AB,AC",FAKE,no,3,True,0
424,"education level | income level | job satisfaction | work-life balance || AC,AD,BC",RANDOM,no,4,False,0
425,"fbge | twac | vdla | vijq || AB,AC,AD",FAKE,no,4,False,0
426,"alor | dzww | geer | tnkc || AD,BC,CD",FAKE,no,4,False,0
427,"the amount of rainfall | the amount of water in a reservoir | the availability of drinking water | the water level in a river || AB,AD,BC,BD,CD",REAL,no,4,False,1
428,"gqkb | rrej | uniw | vxat | zwyp || AB,AC,AD,BC,BD,BE,CD,DE",FAKE,no,5,False,0
429,"clzo | itsc | kyzr | vvae || AB,BC,BD",FAKE,no,4,False,0
430,"oerx | tlqy | xtse | zqrx || AB,AC,BC,BD,CD",FAKE,yes,4,True,0
431,"alzb | dtfn | enkc | hjzh || AC,AD,BC,BD",FAKE,yes,4,True,0
432,"apearance | government policies | traffic congestion | work-life balance || AB,AC,AD,BC,BD",RANDOM,no,4,False,0
433,"jepz | rybe | trzg || AB,BC",FAKE,no,3,False,0
434,"apearance | rainfull | temperature | traffic congestion || AB,AD,BC",RANDOM,no,4,False,0
435,"investment in advertising | number of website visits | sales revenue || AB,AC,BC",REAL,no,3,False,1
436,"jepz | rybe | trzg || AB,BC",FAKE,no,3,False,0
437,"dhib | maiw | vean | zild || AB,AC,BC,CD",FAKE,no,4,True,0
438,"job performance rating | level of education | salary | years of work experience || AC,AD,BC,BD",REAL,no,4,False,1
439,"quality of teaching | traffic congestion | wheather condition || AB,AC,BC",RANDOM,yes,3,True,0
440,"amount of exercise | blood pressure | heart rate || AB,AC",REAL,no,3,False,1
441,"azgg | lscu | zens | zgcj || AB,AC,AD,BD,CD",FAKE,no,4,False,0
442,"the final grade of the student | whether a student studies for an exam | whether the student is well-prepared | whether the student performs well on the exam | whether the student understands the material || AB,AC,AD,BC,BD,BE,CD,DE",REAL,yes,5,True,1
443,"eosj | mffx | sozj | taaz || AB,BC,CD",FAKE,no,4,True,0
444,"job experience | job performance | level of education | salary || AB,AD,BC,BD,CD",REAL,no,4,True,1
445,"izlm | qysf | rtfv | zoqj || AB,AC,BC,BD,CD",FAKE,no,4,False,0
446,"education level | humidity level | physical health | temperature || AB,BC,CD",RANDOM,no,4,True,0
447,"quality of teaching | traffic congestion | wheather condition || AB,AC,BC",RANDOM,no,3,True,0
448,"ahlq | fekt | jzav | zpil || AB,AC,AD,BC,BD,CD",FAKE,no,4,True,0
449,"apearance | government policies | traffic congestion | work-life balance || AB,AC,AD,BC,BD",RANDOM,yes,4,True,0
450,"customer satisfaction with a product | number of positive reviews for the product | revenue generated from the product | sales performance of the product || AB,AD,BC,CD",REAL,yes,4,True,1
451,"ncyl | uooz | vxek | xprn || AB,AC,BC,BD",FAKE,no,4,True,0
452,"apearance | quality of teaching | work-life balance || AB,AC",RANDOM,no,3,True,0
453,"air pressure | amount of exercise | education level | income level || AC,AD,BC,CD",RANDOM,no,4,True,0
454,"blood pressure | government policies | severity of respiratory illnesses | work-life balance || AD,BD,CD",RANDOM,yes,4,True,0
455,"afgs | bobg | viah || AB,AC,BC",FAKE,no,3,True,0
456,"bhrz | tltd | ypil || AB,BC",FAKE,yes,3,True,0
457,"exam score | grade received in the course | number of hours studied for an exam || AB,AC",REAL,yes,3,True,1
458,"azgg | lscu | zens | zgcj || AB,AC,AD,BD,CD",FAKE,yes,4,True,0
459,"availability of public transportation | traffic congestion | travel time to work || AB,AC,BC",REAL,no,3,False,1
460,"the amount of rainfall in a region | the availability of water for irrigation | the crop yield in the region | the water level in a river || AB,AC,BC,BD,CD",REAL,no,4,True,1
461,"amount of exercise | employee performance | government policies | physical health || AB,AC,BD,CD",RANDOM,no,4,False,0
462,"education level | happiness level | income level | job performance || AB,AC,BD,CD",REAL,no,4,False,1
463,"huit | nlta | nxur | vhuj | xyrs || AB,AD,BC,BE,CD,CE,DE",FAKE,no,5,True,0
464,"air pressure | physical health | sales performance | traffic congestion || AC,AD,BC",RANDOM,no,4,False,0
465,"the amount of rainfall in a region | the availability of water for irrigation | the crop yield in the region | the water level in a river || AB,AC,BC,BD,CD",REAL,yes,4,True,1
466,"market demand | physical health | severity of respiratory illnesses || AB,AC",RANDOM,no,3,False,0
467,"child's education level | child's health status | child's social skills | parents' income || AB,AC,AD",REAL,no,4,False,1
468,"kbta | rebc | vtrq | ylaa || AB,AD,BC,BD,CD",FAKE,yes,4,True,0
469,"ofyk | tkjv | vsne || AB,AC",FAKE,no,3,False,0
470,"apearance | employee performance | stress level | work-life balance || AB,AC,AD,BC,BD",RANDOM,no,4,True,0
471,"whether a person is exposed to a contagious disease | whether the person receives appropriate treatment | whether the person recovers from the disease | whether the person seeks medical attention | whether the person shows symptoms of the disease || AB,AE,BC,BD,CD,CE,DE",REAL,no,5,False,1
472,"air pressure | blood pressure | education level | severity of respiratory illnesses || AC,AD,BC,BD,CD",RANDOM,yes,4,True,0
473,"mrwi | qyhw | zthn || AB,AC,BC",FAKE,no,3,False,0
474,"whether a person is exposed to a contagious disease | whether the person receives appropriate treatment | whether the person recovers from the disease | whether the person seeks medical attention | whether the person shows symptoms of the disease || AB,AE,BC,BD,CD,CE,DE",REAL,no,5,False,1
475,"oerx | tlqy | xtse | zqrx || AB,AC,BC,BD,CD",FAKE,no,4,True,0
476,"whether a person is exposed to a contagious disease | whether the person receives appropriate treatment | whether the person recovers from the disease | whether the person seeks medical attention | whether the person shows symptoms of the disease || AB,AE,BC,BD,CD,CE,DE",REAL,no,5,False,1
477,"the amount of sleep the night before the exam | the exam score | the number of hours studied for an exam || AC,BC",REAL,no,3,False,1
478,"amount of exercise | education level | job satisfaction | wheather condition || AB,BC,BD",RANDOM,no,4,False,0
479,"axai | ldok | mjlh | pntb || AC,AD,BC,BD",FAKE,no,4,False,0
480,"apearance | government policies | mental health | temperature || AD,BC,CD",RANDOM,no,4,True,0
481,"the amount of exercise a person does per week | the person's physical fitness level | the person's risk of developing chronic diseases || AB,AC",REAL,no,3,False,1
482,"apearance | blood pressure | employee performance | job satisfaction || AB,AC,AD,BC,BD,CD",RANDOM,no,4,False,0
483,"jepz | rybe | trzg || AB,BC",FAKE,no,3,False,0
484,"amount of exercise | education level | humidity level | market demand | sales performance || AB,AD,AE,BC,BD,CD,CE",RANDOM,no,5,False,0
485,"amount of exercise | education level | employee performance | physical health | temperature || AC,AE,BC,BE,CD,CE,DE",RANDOM,no,5,False,0
486,"government policies | income level | talent | work-life balance || AB,AC,AD,BC,CD",RANDOM,yes,4,True,0
487,"mrdz | mtwz | rewt || AB,AC,BC",FAKE,no,3,False,0
488,"axag | eyse | hsvu | tqrr | vgnx || AD,BD,CD,DE",FAKE,no,5,False,0
489,"air pressure | physical health | sales performance | traffic congestion || AC,AD,BC",RANDOM,yes,4,True,0
490,"dtdq | lkll | owxw | wmll || AB,AD,BC,CD",FAKE,no,4,False,0
491,"izlm | qysf | rtfv | zoqj || AB,AC,BC,BD,CD",FAKE,yes,4,True,0
492,"employee performance | income level | sales performance || AC,BC",RANDOM,no,3,True,0
493,"avtx | etyb | gmjc | wmpz || AD,BD,CD",FAKE,no,4,False,0
494,"air pressure | rainfull | severity of respiratory illnesses | stress level || AC,BC,CD",RANDOM,yes,4,True,0
495,"bcij | musg | qbfp | qmsx | xrdt || AB,AC,BC,BD,CD,DE",FAKE,no,5,False,0
496,"employee performance | mental health | stress level || AC,BC",RANDOM,no,3,False,0
497,"bcij | musg | qbfp | qmsx | xrdt || AB,AC,BC,BD,CD,DE",FAKE,no,5,False,0
498,"ejwt | fguc | fywx | gecc | radw || AC,AE,BC,BE,CD,CE,DE",FAKE,no,5,False,0
499,"diih | dyam | ouqo | vepk || AB,AC,AD,BC",FAKE,no,4,False,0
500,"amount of sunlight | crop quality | crop yield | weather conditions || AC,AD,BC,BD",REAL,no,4,False,1
501,"amount of rainfall | crop yield | humidity | temperature || AD,BD,CD",REAL,no,4,True,1
502,"job performance rating | level of education | salary | years of work experience || AC,AD,BC,BD",REAL,no,4,False,1
503,"apearance | traffic congestion | wheather condition || AB,BC",RANDOM,no,3,True,0
504,"education level | income level | traffic congestion | work-life balance || AD,BD,CD",RANDOM,no,4,False,0
505,"ahcp | etsq | fqyq | pcit || AB,AD,BD,CD",FAKE,yes,4,True,0
506,"sund | tavp | ujtl | wkhi || AB,AC,AD,BD,CD",FAKE,no,4,True,0
507,"job performance | job satisfaction | level of education | salary || AB,BC,BD,CD",REAL,yes,4,True,1
508,"blood pressure | market demand | temperature || AB,AC,BC",RANDOM,no,3,True,0
509,"bsaz | czvl | tava | vimz || AC,BC,CD",FAKE,yes,4,True,0
510,"ejwt | fguc | fywx | gecc | radw || AC,AE,BC,BE,CD,CE,DE",FAKE,no,5,True,0
511,"the amount of exercise a person does | the person's cardiovascular health | the person's immune system | the person's overall health | the person's respiratory health || AB,AD,BC,BE,CD,CE,DE",REAL,no,5,True,1
512,"amount of rainfall | crop yield | temperature | wind speed || AD,BD,CD",REAL,no,4,False,1
513,"arrival time at work | availability of public transportation | distance from home to workplace | traffic congestion | weather condition || AC,BC,CD,ED",REAL,yes,5,True,1
514,"the availability of public transportation | the cost of fuel | the number of cars on the road || AC,BC",REAL,no,3,False,1
515,"the final grade of the student | whether a student studies for an exam | whether the student is well-prepared | whether the student performs well on the exam | whether the student understands the material || AB,AC,AD,BC,BD,BE,CD,DE",REAL,yes,5,True,1
516,"air pressure | apearance | blood pressure | income level | traffic congestion || AB,AC,BC,BD,CD,DE",RANDOM,no,5,False,0
517,"arrival time at work | availability of public transportation | distance from home to workplace | traffic congestion | weather condition || AC,BC,CD,ED",REAL,no,5,False,1
518,"academic performance | amount of sleep obtained | number of hours spent studying || AC,BC",REAL,no,3,False,1
519,"apearance | blood pressure | job satisfaction | severity of respiratory illnesses | stress level || AB,AC,AD,BC,BD,BE,CD,DE",RANDOM,yes,5,True,0
520,"amount of exercise | caloric intake | weight loss/gain || AC,BC",REAL,no,3,False,1
521,"amount of rainfall | crop yield | weather conditions || AB,AC,BC",REAL,yes,3,True,1
522,"exxp | hnzi | mlhx | ovlq | wtel || AC,BC,CD,ED",FAKE,no,5,True,0
523,"gavm | gewg | rrch | vate || AB,AC,AD,BC,BD",FAKE,no,4,False,0
524,"apearance | government policies | traffic congestion | work-life balance || AB,AC,AD,BC,BD",RANDOM,no,4,True,0
525,"the amount of rainfall | the amount of water in a reservoir | the availability of drinking water | the water level in a river || AB,AD,BC,BD,CD",REAL,no,4,False,1
526,"government policies | market demand | quality of teaching || AB,AC",RANDOM,no,3,False,0
527,"apearance | employee performance | stress level | work-life balance || AB,AC,AD,BC,BD",RANDOM,yes,4,True,0
528,"the amount of rainfall in a region | the availability of water for irrigation | the crop yield in the region | the water level in a river || AB,AC,BC,BD,CD",REAL,no,4,False,1
529,"ahlq | fekt | jzav | zpil || AB,AC,AD,BC,BD,CD",FAKE,no,4,False,0
530,"amount of exercise | humidity level | quality of teaching | temperature || AB,AC,BC,BD",RANDOM,no,4,False,0
531,"the decision to bring an umbrella | the weather forecast | whether the person gets wet | whether the person stays dry || AB,BC,BD",REAL,no,4,False,1
532,"the final grade of the student | whether a student studies for an exam | whether the student is well-prepared | whether the student performs well on the exam | whether the student understands the material || AB,AC,AD,BC,BD,BE,CD,DE",REAL,yes,5,True,1
533,"ajlk | bduo | mzbw | vlmn || AB,BC,BD,CD",FAKE,no,4,True,0
534,"employee performance | income level | market demand || AB,BC",RANDOM,no,3,True,0
535,"blood pressure | government policies | severity of respiratory illnesses | work-life balance || AD,BD,CD",RANDOM,no,4,False,0
536,"employee performance | mental health | stress level || AC,BC",RANDOM,no,3,False,0
537,"amount of exercise | humidity level | quality of teaching | temperature || AB,AC,BC,BD",RANDOM,no,4,True,0
538,"education level | income level | job satisfaction | quality of life || AC,AD,BC,BD,CD",REAL,yes,4,True,1
539,"the amount of rainfall | the amount of water in a reservoir | the availability of drinking water | the water level in a river || AB,AD,BC,BD,CD",REAL,no,4,False,1
540,"bhrz | tltd | ypil || AB,BC",FAKE,no,3,False,0
541,"arbu | eons | pgqh | smku || AC,AD,BC,CD",FAKE,no,4,True,0
542,"education level | happiness level | income level | job satisfaction | life satisfaction || AC,AE,BC,BD,CD,CE,DE",REAL,no,5,True,1
543,"a company | company expenses | company profit | company revenue || AB,AC,AD,BC",REAL,no,4,True,1
544,"whether a person is exposed to a contagious disease | whether the person receives appropriate treatment | whether the person recovers from the disease | whether the person seeks medical attention | whether the person shows symptoms of the disease || AB,AE,BC,BD,CD,CE,DE",REAL,no,5,False,1
545,"amount of exercise | physical health | quality of teaching | severity of respiratory illnesses || AD,BC,CD",RANDOM,no,4,True,0
546,"grade in the course | number of hours studied | overall gpa | test performance || AB,BC,CD",REAL,no,4,True,1
547,"amount of exercise | education level | humidity level | market demand | sales performance || AB,AD,AE,BC,BD,CD,CE",RANDOM,no,5,True,0
548,"air pressure | apearance | education level || AB,BC",RANDOM,yes,3,True,0
549,"job satisfaction | severity of respiratory illnesses | temperature || AB,AC,BC",RANDOM,no,3,True,0
550,"amount of exercise | employee performance | government policies | physical health || AB,AC,BD,CD",RANDOM,yes,4,True,0
551,"market demand | severity of respiratory illnesses | talent | temperature || AB,AD,BC,BD,CD",RANDOM,no,4,False,0
552,"amount of exercise | overall health status | physical fitness level || AB,BC",REAL,yes,3,True,1
553,"alor | dzww | geer | tnkc || AD,BC,CD",FAKE,no,4,False,0
554,"icux | mqrw | qeld | rztp || AC,AD,BC",FAKE,no,4,False,0
555,"job performance rating | level of education | salary | years of work experience || AC,AD,BC,BD",REAL,no,4,True,1
556,"child's education level | child's health status | child's social skills | parents' income || AB,AC,AD",REAL,no,4,False,1
